2024-11-04 15:35:03 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 10548
2024-11-04 15:35:03 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-11-04 15:35:03 0 [Note] InnoDB: Uses event mutexes
2024-11-04 15:35:03 0 [Note] InnoDB: Compressed tables use zlib 1.3
2024-11-04 15:35:03 0 [Note] InnoDB: Number of pools: 1
2024-11-04 15:35:03 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=302] with future log sequence number 3119779
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=410] with future log sequence number 3114150
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=236] with future log sequence number 3110838
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 3110838
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=238] with future log sequence number 3109557
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=249] with future log sequence number 3122056
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 3122056
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=248] with future log sequence number 3122012
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=434] with future log sequence number 3122012
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=247] with future log sequence number 3121968
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=311] with future log sequence number 3121968
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=246] with future log sequence number 3121924
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=416] with future log sequence number 3121924
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=242] with future log sequence number 3121880
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=424] with future log sequence number 3121880
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=260] with future log sequence number 3205418
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=419] with future log sequence number 3205418
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 3920864
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=347] with future log sequence number 3920864
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=6] with future log sequence number 4063101
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=9] with future log sequence number 4063437
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 4063101
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=297] with future log sequence number 4058380
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=212] with future log sequence number 4095526
2024-11-04 15:35:03 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=315] with future log sequence number 4095526
